artist,count
Post Malone,7
Ed Sheeran,5
The Weeknd,4
Justin Bieber,4
Imagine Dragons,4
Dua Lipa,4
XXXTentacion,3
Twenty One Pilots,3
The Chainsmokers,3
Shawn Mendes,3
Drake,3
DJ Snake,3
Travis Scott,2
Sia,2
Sam Smith,2
Maroon 5,2
Major Lazer,2
Khalid,2
J Balvin,2
Halsey,2
Charlie Puth,2
Camila Cabello,2
Calvin Harris,2
Billie Eilish,2
Ariana Grande,2
Zayn,1
Wiz Khalifa,1
Willy William,1
Vance Joy,1
Tones and I,1
Taylor Swift,1
Swae Lee,1
Seeb,1
Ryan Lewis,1
Queen,1
Passenger,1
OneRepublic,1
Omi,1
Mike Posner,1
Marshmello,1
Mark Ronson,1
Macklemore,1
Lukas Graham,1
Luis Fonsi ,1
Luis Fonsi,1
Lil Uzi Vert,1
Lil Nas X,1
Lewis Capaldi,1
Lauv,1
Lady Gaga,1
Kendrick Lamar,1
Justin Timberlake,1
Juice Wrld,1
John Legend,1
James Arthur,1
Hozier,1
French Montana,1
Fifth Harmony,1
Daddy Yankee,1
Coldplay,1
Clean Bandit,1
Cardi B,1
Bruno Mars,1
Bradley Cooper,1
Billy Ray Cyrus,1
Benny Blanco,1
Bastille,1
Bad Bunny,1
Avicii,1
Alan Walker,1
Adele,1
5 Seconds Of Summer,1
