rank,song,artist,primary_artist_1,primary_artist_2,primary_artist_3,album,streams_millions,date_published,genre,genre_currated,sex_structure,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
33,Bohemian Rhapsody,Queen,Queen,,,A Night at the Opera,1260,1975-10-31,glam rock,rock,band,71,40,41,-10,30,22,354,27,5,83
73,Can't Hold Us,Macklemore & Ryan Lewis featuring Ray Dalton,Macklemore,Ryan Lewis,,The Heist,1055,2011-08-16,dance pop,dance,collaboration,146,92,64,-4,9,85,258,3,8,83
49,Let Her Go,Passenger,Passenger,,,All the Little Lights,1167,2012-02-24,folk-pop,pop,men,75,54,51,-7,10,24,253,39,6,77
75,Radioactive,Imagine Dragons,Imagine Dragons,,,Night Visions,1049,2012-09-04,modern rock,rock,band,136,78,45,-4,67,24,187,11,6,77
96,Demons,Imagine Dragons,Imagine Dragons,,,Night Visions,1009,2012-09-04,modern rock,rock,band,90,71,51,-3,27,43,178,19,3,79
72,Counting Stars,OneRepublic,OneRepublic,,,Native,1057,2013-03-25,dance pop,dance,band,122,71,66,-5,12,48,257,7,4,80
90,Riptide,Vance Joy,Vance Joy,,,Dream Your Life Away,1020,2013-05-21,folk-pop,pop,men,102,73,48,-7,15,51,204,43,4,79
62,Wake Me Up,Avicii featuring Aloe Blacc,Avicii,,,True,1095,2013-06-17,big room,electro,collaboration,124,78,53,-6,16,64,247,0,5,84
37,All of Me,John Legend,John Legend,,,Love in the Future,1248,2013-08-12,neo mellow,pop,men,120,26,42,-7,13,33,270,92,3,85
42,Take Me to Church,Hozier,Hozier,,,Hozier,1203,2013-09-13,irish singer-songwriter,pop,men,129,66,57,-5,12,44,242,63,5,80
92,Chandelier,Sia,Sia,,,1000 Forms of Fear,1016,2014-03-17,australian dance,dance,women,117,79,40,-3,7,57,216,2,5,78
48,Stay with Me,Sam Smith,Sam Smith,,,In the Lonely Hour,1171,2014-04-14,pop,pop,men,84,42,42,-6,11,18,173,59,4,82
68,Cheerleader (Felix Jaehn Remix),Omi,Omi,,,Me 4 U,1067,2014-05-19,dance pop,dance,collaboration,118,68,73,-6,7,69,181,10,4,2
8,Thinking Out Loud,Ed Sheeran,Ed Sheeran,,,×,1577,2014-06-20,pop,pop,men,79,45,78,-6,18,59,282,47,3,83
16,Photograph,Ed Sheeran,Ed Sheeran,,,×,1409,2014-06-20,pop,pop,men,108,38,61,-10,10,20,259,61,5,83
91,Sugar,Maroon 5,Maroon 5,,,V,1019,2014-08-29,pop,pop,men,120,79,75,-7,9,88,235,6,3,80
46,Uptown Funk,Mark Ronson featuring Bruno Mars,Mark Ronson,,,Uptown Special,1177,2014-11-10,dance pop,dance,collaboration,115,61,86,-7,3,93,270,1,8,81
20,Lean On,Major Lazer and DJ Snake featuring MØ,Major Lazer,DJ Snake,,Peace Is the Mission,1378,2015-03-02,dance pop,dance,collaboration,98,81,72,-3,56,27,177,0,6,55
71,See You Again,Wiz Khalifa featuring Charlie Puth,Wiz Khalifa,,,Furious 7: Original Motion Picture Soundtrack,1058,2015-03-10,hip hop,hip_hop,collaboration,80,48,69,-8,6,28,230,37,8,81
31,I Took a Pill in Ibiza (Seeb Remix),Mike Posner and Seeb,Mike Posner,Seeb,,"At Night, Alone",1284,2015-04-14,dance pop,dance,collaboration,102,71,66,-7,8,71,198,4,11,77
60,Stitches,Shawn Mendes,Shawn Mendes,,,Handwritten,1102,2015-04-14,canadian pop,pop,men,150,75,75,-7,5,75,207,2,7,76
38,Stressed Out,Twenty One Pilots,Twenty One Pilots,,,Blurryface,1238,2015-04-28,modern rock,rock,band,170,64,73,-6,6,65,202,5,14,83
99,Ride,Twenty One Pilots,Twenty One Pilots,,,Blurryface,997,2015-05-17,modern rock,rock,band,75,71,65,-5,11,57,215,1,4,81
84,The Hills,The Weeknd,The Weeknd,,,Beauty Behind The Madness,1027,2015-05-27,canadian contemporary r&b,r&b,men,113,56,59,-7,14,14,242,7,5,83
78,Can't Feel My Face,The Weeknd,The Weeknd,,,Beauty Behind the Madness,1043,2015-06-08,canadian contemporary r&b,r&b,men,108,77,71,-6,11,58,214,11,4,79
55,7 Years,Lukas Graham,Lukas Graham,,,Lukas Graham,1122,2015-06-16,danish pop,pop,band,120,47,77,-6,39,34,237,29,5,79
58,What Do You Mean?,Justin Bieber,Justin Bieber,,,Purpose,1111,2015-08-28,canadian pop,pop,men,125,57,85,-8,8,79,206,59,10,77
24,Sorry,Justin Bieber,Justin Bieber,,,Purpose,1332,2015-10-22,canadian pop,pop,men,100,76,65,-4,30,41,201,8,5,80
81,Hello,Adele,Adele,,,25,1038,2015-10-23,british soul,r&b,women,158,43,47,-6,9,29,296,33,3,72
15,Love Yourself,Justin Bieber,Justin Bieber,,,Purpose,1417,2015-11-09,canadian pop,pop,men,100,38,61,-10,28,52,234,84,44,81
36,Faded,Alan Walker,Alan Walker,,,Different World,1248,2015-12-03,electro house,electro,men,180,63,47,-5,11,16,212,3,5,79
45,Cheap Thrills,Sia,Sia,,,This Is Acting,1177,2016-01-29,australian dance,dance,women,90,70,63,-6,9,73,212,5,11,77
93,We Don't Talk Anymore,Charlie Puth featuring Selena Gomez,Charlie Puth,,,Nine Track Mind,1016,2016-01-29,dance pop,dance,collaboration,100,56,73,-8,18,35,218,62,13,79
26,Don't Let Me Down,The Chainsmokers featuring Daya,The Chainsmokers,,,Collage,1318,2016-02-05,dance pop,dance,collaboration,160,87,53,-5,14,42,208,16,17,80
83,Work from Home,Fifth Harmony featuring Ty Dolla Sign,Fifth Harmony,,,7/27,1034,2016-02-26,dance pop,dance,collaboration,105,59,80,-6,6,59,214,10,4,78
3,One Dance,Drake featuring Wizkid and Kyla,Drake,,,Views,1889,2016-04-05,canadian hip hop,hip_hop,collaboration,104,63,79,-6,33,37,174,1,5,81
76,This Is What You Came For,Calvin Harris featuring Rihanna,Calvin Harris,,,Non-album single,1048,2016-04-29,dance pop,dance,collaboration,124,93,63,-3,15,47,222,20,3,79
57,Can't Stop the Feeling!,Justin Timberlake,Justin Timberlake,,,Trolls: Original Motion Picture Soundtrack,1111,2016-05-06,dance pop,pop,men,113,83,67,-6,19,70,236,1,7,78
43,Treat You Better,Shawn Mendes,Shawn Mendes,,,Illuminate,1191,2016-06-03,canadian pop,pop,men,83,82,44,-4,11,75,188,11,34,82
70,Heathens,Twenty One Pilots,Twenty One Pilots,,,Suicide Squad: The Album,1058,2016-06-16,modern rock,rock,band,90,40,73,-9,11,55,196,8,3,81
